latitude;longitude;numberFloor;buildingHeight;completedYear
40.707820892334;-74.009048461914;60;247.80999755859;1961
40.755939483643;-73.985801696777;48;246.53999328613;1999
40.753421783447;-73.976669311523;59;246.2799987793;1963
40.761741638184;-73.967987060547;54;245.61999511719;2004
37.789749145508;-122.39515686035;54;244.44999694824;2017
39.953578948975;-75.169548034668;54;241.41000366211;1990
40.712390899658;-74.008201599121;57;241.39999389648;1913
44.97599029541;-93.272636413574;55;241.38000488281;1973
41.867088317871;-87.623039245605;73;241,00;0
42.349319458008;-71.075103759766;62;240.78999328613;1976
25.759029388428;-80.191772460938;64;240.41000366211;2003
32.781631469727;-96.796318054199;60;239.88000488281;1987
35.223899841309;-80.848602294922;48;239.69999694824;2010
41.888221740723;-87.633171081543;60;239.11999511719;2009
40.712909698486;-74.033752441406;42;238.05000305176;2004
40.763698577881;-73.97029876709;54;237.91999816895;2018
29.760749816895;-95.366592407227;56;237.75;1983
